Report_Month,Site_ID,Site_Name,Country,Region,Production_Units,Scope1_tCO2e,Scope2_tCO2e,Electricity_MWh,Renewable_Electricity_MWh,Natural_Gas_MWh,Water_Withdrawal_m3,Total_Waste_t,Recycled_Waste_t,Hazardous_Waste_t,Energy_Unit,Waste_Unit,Source_System,Submission_ID,Submitted_By,Submission_Date
2023-01-01,DE-MUC,Munich,Germany,Europe,128344,265.1,400.1,4011.3,2677.7,1284.6,44290.0,119.1,90.8,6.7,MWh,tonnes,Site ESG Template,SUB-202301-DE-MUC-01,Munich ESG Coordinator,2023-01-09
2023-01-01,DE-DRS,Dresden,Germany,Europe,114795,211.5,376.7,3404.4,2148.6,1041.5,34935.0,103.4,79.5,5.9,MWh,tonnes,Site ESG Template,SUB-202301-DE-DRS-01,Dresden ESG Coordinator,2023-01-10
2023-01-01,AT-VIL,Villach,Austria,Europe,100223,176.5,123.9,2906.7,2218.3,860.5,29714.0,86.6,68.6,4.6,MWh,tonnes,Site ESG Template,SUB-202301-AT-VIL-01,Villach ESG Coordinator,2023-01-11
2023-01-01,PT-POR,Porto,Portugal,Europe,89722,162.8,152.3,2479.7,1787.5,796.3,28936.0,75.4,59.9,3.7,MWh,tonnes,Site ESG Template,SUB-202301-PT-POR-01,Porto ESG Coordinator,2023-01-12
2023-01-01,SG-SIN,Singapore,Singapore,Asia,140665,222.1,1286.2,4842.2,1705.1,1089.0,61941.0,141.6,104.6,8.5,MWh,tonnes,Site ESG Template,SUB-202301-SG-SIN-01,Singapore ESG Coordinator,2023-01-13
2023-01-01,MY-KUL,Kulim,Malaysia,Asia,157993,271.8,1323.7,5146.1,2204.5,1313.6,61305.0,153.8,113.4,9.2,MWh,tonnes,Site ESG Template,SUB-202301-MY-KUL-01,Kulim ESG Coordinator,2023-01-14
2023-02-01,DE-MUC,Munich,DE,Europe,128352,266.1,384.9,3930.2,2647.1,1302.7,42596.0,120.8,96.0,7.5,MWh,tonnes,Site ESG Template,SUB-202302-DE-MUC-01,Munich ESG Coordinator,2023-02-15
2023-02-01,DE-DRS,Dresden,Germany,Europe,113916,219.4,369.4,3436.7,2205.5,1065.6,34828.0,97.7,76.0,5.1,MWh,tonnes,Site ESG Template,SUB-202302-DE-DRS-01,Dresden ESG Coordinator,2023-02-16
2023-02-01,AT-VIL,Villach,Austria,Europe,101940,180.0,123.2,2915.9,2231.7,879.8,29121.0,86.2,67.5,4.1,MWh,tonnes,Site ESG Template,SUB-202302-AT-VIL-01,Villach ESG Coordinator,2023-02-17
2023-02-01,PT-POR,Porto,Portugal,Europe,89681,161.5,152.9,2525.1,1830.2,786.2,28892.0,75.4,59.8,4.7,MWh,tonnes,Site ESG Template,SUB-202302-PT-POR-01,Porto ESG Coordinator,2023-02-18
2023-02-01,SG-SIN,Singapore,Singapore,Asia,147271,230.6,1334.6,5025.1,1769.9,1126.9,65822.0,144.0,104.3,8.1,MWh,tonnes,Site ESG Template,SUB-202302-SG-SIN-01,Singapore ESG Coordinator,2023-02-19
2023-02-01,MY-KUL,Kulim,Malaysia,Asia,152912,261.1,1257.2,4982.1,2188.3,1275.8,58571.0,141.1,104.7,7.1,MWh,tonnes,Site ESG Template,SUB-202302-MY-KUL-01,Kulim ESG Coordinator,2023-02-08
2023-03-01,DE-MUC,Munich,Germany,Europe,130555,268.5,384.6,4018.6,2736.6,1306.5,43365.0,119.4,94.0,7.0,MWh,tonnes,Site ESG Template,SUB-202303-DE-MUC-01,Munich ESG Coordinator,2023-03-09
2023-03-01,DE-DRS,Dresden,GERMANY,Europe,112699,209.3,372.8,3411.7,2169.1,1026.9,34398.0,100.8,78.0,5.1,MWh,tonnes,Site ESG Template,SUB-202303-DE-DRS-01,Dresden ESG Coordinator,2023-03-10
2023-03-01,AT-VIL,Villach,Austria,Europe,97848,171.8,115.1,2854.3,2214.8,845.8,28772.0,83.6,65.6,4.7,MWh,tonnes,Site ESG Template,SUB-202303-AT-VIL-01,Villach ESG Coordinator,2023-03-11
2023-03-01,PT-POR,Porto,Portugal,Europe,88980,164.0,153.8,2464.7,1765.4,799.1,29797.0,74.9,58.6,3.5,MWh,tonnes,Site ESG Template,SUB-202303-PT-POR-01,Porto ESG Coordinator,2023-03-12
2023-03-01,SG-SIN,Singapore,Singapore,Asia,146098,235.9,1311.3,5037.8,1839.6,1152.3,66040.0,144.8,106.1,8.1,MWh,tonnes,Site ESG Template,SUB-202303-SG-SIN-01,Singapore ESG Coordinator,2023-03-13
2023-03-01,MY-KUL,Kulim,Malaysia,Asia,152916,255.3,1275.9,5066.6,2231.3,1252.4,58448.0,147.1,111.4,7.7,MWh,tonnes,Site ESG Template,SUB-202303-MY-KUL-01,Kulim ESG Coordinator,2023-03-14
2023-04-01,DE-MUC,Munich,Germany,Europe,130210,271.1,387.9,4063.4,2770.4,1322.5,44685.0,122.7,97.6,6.7,MWh,tonnes,Site ESG Template,SUB-202304-DE-MUC-01,Munich ESG Coordinator,2023-04-15
2023-04-01,DE-DRS,Dresden,Germany,Europe,111797,210.6,370.4,3363.4,2128.7,1030.4,34027.0,98.5,77.8,5.0,MWh,tonnes,Site ESG Template,SUB-202304-DE-DRS-01,Dresden ESG Coordinator,2023-04-16
2023-04-01,AT-VIL,Villach,Austria,Europe,101866,177.3,121.8,2969.7,2292.9,861.3,30233.0,83.8,65.6,5.0,MWh,tonnes,Site ESG Template,SUB-202304-AT-VIL-01,Villach ESG Coordinator,2023-04-17
2023-04-01,PT-POR,Porto,Portugal,Europe,87768,162.7,151.0,2433.4,1747.1,793.2,29291.0,76.0,59.4,3.7,MWh,tonnes,Site ESG Template,SUB-202304-PT-POR-01,Porto ESG Coordinator,2023-04-18
2023-04-01,SG-SIN,Singapore,Singapore,Asia,143731,226.7,1284.6,4945.8,1812.6,1104.6,64382.0,146.7,110.5,7.9,MWh,tonnes,Site ESG Template,SUB-202304-SG-SIN-01,Singapore ESG Coordinator,2023-04-19
2023-04-01,MY-KUL,Kulim,Malaysia,Asia,153492,261.1,1277.8,5078.4,2238.8,1273.8,58455.0,142.7,104.8,8.0,MWh,tonnes,Site ESG Template,SUB-202304-MY-KUL-01,Kulim ESG Coordinator,2023-04-08
2023-05-01,DE-MUC,Munich,Germany,Europe,127343,256.9,381.3,4000.6,2729.5,1255.3,42938.0,116.2,92.9,6.4,MWh,tonnes,Site ESG Template,SUB-202305-DE-MUC-01,Munich ESG Coordinator,2023-05-09
2023-05-01,DE-DRS,Dresden,Germany,Europe,114409,209.9,371.9,3431.8,2192.0,1032.0,34843.0,102.5,79.5,5.6,MWh,tonnes,Site ESG Template,SUB-202305-DE-DRS-01,Dresden ESG Coordinator,2023-05-10
2023-05-01,AT-VIL,Villach,Austria,Europe,98858,175.5,122.0,2888.1,2210.3,851.5,28674.0,84.2,64.5,5.1,MWh,tonnes,Site ESG Template,SUB-202305-AT-VIL-01,Villach ESG Coordinator,2023-05-11
2023-05-01,PT-POR,Porto,Portugal,Europe,88392,159.5,156.3,2496.4,1786.1,775.2,29109.0,75.5,58.9,3.7,MWh,tonnes,Site ESG Template,SUB-202305-PT-POR-01,Porto ESG Coordinator,2023-05-12
2023-05-01,SG-SIN,Singapore,Singapore,Asia,148713,237.6,1336.3,5087.7,1828.5,1161.1,67779.0,150.8,113.2,8.6,MWh,tonnes,Site ESG Template,SUB-202305-SG-SIN-01,Singapore ESG Coordinator,2023-05-13
2023-05-01,MY-KUL,Kulim,Malaysia,Asia,151722,257.2,1254.3,4994.9,2207.5,1244.7,59700.0,144.2,104.5,7.1,MWh,tonnes,Site ESG Template,SUB-202305-MY-KUL-01,Kulim ESG Coordinator,2023-05-14
2023-06-01,DE-MUC,Munich,Germany,Europe,126879,258.3,391.1,3905.5,2601.7,1259.4,43715.0,118.9,93.5,6.7,MWh,tonnes,Site ESG Template,SUB-202306-DE-MUC-01,Munich ESG Coordinator,2023-06-15
