KPI,Definition,Unit,Frequency,Owner,ESRS_Topic,Calculation,Source_URL
Scope 1 GHG Emissions,Direct greenhouse-gas emissions from simulated company-controlled operations.,tCO2e,Monthly,Sustainability / Site EHS,E1 - Climate Change,Reported site metric,https://finance.ec.europa.eu/news/commission-adopts-revised-sustainability-reporting-standards-2026-07-03_en
Scope 2 GHG Emissions,Indirect greenhouse-gas emissions associated with purchased electricity in the simulated case.,tCO2e,Monthly,Sustainability / Site EHS,E1 - Climate Change,Reported site metric,https://www.efrag.org/en/sustainability-reporting
Total GHG Emissions,Combined Scope 1 and Scope 2 greenhouse-gas emissions.,tCO2e,Monthly,Sustainability,E1 - Climate Change,Scope 1 + Scope 2,https://www.efrag.org/en/sustainability-reporting
Renewable Electricity Share,Share of total electricity consumption sourced from renewable electricity.,%,Monthly,Energy / Sustainability,E1 - Climate Change,Renewable electricity / total electricity * 100,https://www.efrag.org/en/sustainability-reporting
Emissions Intensity,Total Scope 1 + 2 emissions relative to production output.,"tCO2e per 1,000 units",Monthly,Sustainability / Operations,E1 - Climate Change,"Total GHG / production units * 1,000",https://www.efrag.org/en/sustainability-reporting
Water Withdrawal,Total water withdrawn for simulated manufacturing operations.,m3,Monthly,Site EHS,E3 - Water,Reported site metric,https://www.efrag.org/en/sustainability-reporting
Water Intensity,Water withdrawal relative to production output.,"m3 per 1,000 units",Monthly,Site EHS / Operations,E3 - Water,"Water withdrawal / production units * 1,000",https://www.efrag.org/en/sustainability-reporting
Total Waste,Total waste generated by the simulated manufacturing site.,tonnes,Monthly,Site EHS,E5 - Resource Use & Circular Economy,Reported site metric,https://www.efrag.org/en/sustainability-reporting
Recycling Rate,Share of total waste diverted to recycling.,%,Monthly,Site EHS,E5 - Resource Use & Circular Economy,Recycled waste / total waste * 100,https://www.efrag.org/en/sustainability-reporting
Reporting Completeness,Share of required reporting fields submitted without missing values.,%,Monthly,Sustainability Reporting,Reporting quality / governance,Complete required fields / expected required fields * 100,https://finance.ec.europa.eu/financial-markets/company-reporting-and-auditing/company-reporting/corporate-sustainability-reporting_en
